codigo,texto
1,SIN INFORMACIÓN
2,PROCAPS SAS
3,PROCTER & GAMBLE COLOMBIA LTDA
4,OM PHARMA SA
5,TECNOQUIMICAS SAS
6,LABORATORIOS SIEGFRIED SAS.
7,GLAXOSMITHKLINE COLOMBIA SAS
8,GRÜNENTHAL COLOMBIANA SAS
9,MEMPHIS PRODUCTS SAS
10,GENFAR SAS
11,BIOCHEM FARMACEUTICA DE COLOMBIASAS
12,FEPARVI SAS.
13,VIFOR INTERNATIONAL INC
14,ASOCIACIÓN PROFAMILIA
15,ASPEN COLOMBIANA SAS.
16,COLMED LTDA
17,NOVARTIS PHARMA A.G.
18,TECNOFAR TQ SAS
19,EURODRUG LABORATORIES B.V.
20,TEOFARMA S.R.L.
21,EUROFARMA COLOMBIASAS
22,VITALIS SAS C.I. (PLANTA 6)
23,MEGALABS COLOMBIA SAS
24,RB (HEALTH) COLOMBIA SAS
25,MERCK SAS
26,BAXTER DEUTSCHLAND GMBH (BDG)
27,SANDOZ GMBH
28,PFIZER SAS.
29,BAYER SAS
30,ALCON LABORATORIES INC
31,MYLAN PHARMA GMBH
32,GE HEALTHCARE AS
33,HALEON COLOMBIA SAS
34,ORGANON LLC
35,FARMA DE COLOMBIA SAS.
36,AZIENDE CHIMICHE RIUNITE ANGELLINI FRANCESCO S.P.A.
37,LEO PHARMA A/S
38,FARMACOL CHINOIN SAS.
39,OPELLA HEALTHCARE COLOMBIA SAS.
40,CHEPLAPHARM ARZNEIMITTEL GMBH
41,SANOFIAVENTIS DE COLOMBIA SAS
42,DAMUZI COMPANY SAS
43,OFTALMOQUIMICA SAS
44,ROPSOHN THERAPEUTICS SAS
45,NTI NEW TRADE INTERNATIONAL SAS.
46,SANOFI PASTEUR
47,ZAMBON COLOMBIA SAS
48,JGB SAS
49,PIRAMAL CRITICAL CARE LIMITED
50,AMERICAN GENERICS SAS.
51,GALDERMA S.A
52,BOEHRINGER INGELHEIM INTERNATIONAL GMBH.
53,ASEPSIS PRODUCTS DE COLOMBIA SAS. PROASEPSIS SAS.
54,QUIRUMEDICAS SAS
55,AMDIPHARM LTD
56,B.BRAUN MELSUNGEN AG
57,ASTRAZENECA COLOMBIA SAS
58,STADA ARZNEIMITTEL AKTIENGESELLSCHAFT
59,CSL BEHRING GMBH
60,LIEBEL  FLARSHEIM COMPANY LLC
61,TAKEDA COLOMBIA SAS
62,ASOFARMA DE MEXICO SAS DE C.V.
63,ANGLOPHARMA SAS
64,INVERSIONES COMERFAR LTDA.
65,BELLEZA EXPRESSSAS
66,QUIFARMA SAS.
67,NOVAMED SAS.
68,ESSENTIAL PHARMA SWITZERLAND GMBH
69,PRODUCTORA Y COMERCIALIZADORA ODONTOLOGICANEW STETIC SAS
70,ELECTROQUIMICA WEST SAS
71,HECTOR RIVERA GARZON & CIA. SAS
72,QUIBI SAS
73,UNIAO QUIMICA FARMACEUTICA NACIONAL S.A
74,NEW TRADE INTERNATIONAL SAS.  NTI.
75,BLUEPHARMA COLOMBIA SAS.
76,VIE DE COLOMBIA SAS.
77,PATMAR SAS
78,COLOMBIANA DE SUMINISTROS MEDICOS HOSPITALARIOS LTDA  COLMED LTDA
79,INSTITUTO FINLAY DE VACUNAS
80,LES LABORATOIRES SERVIER
81,MADAUS GMBH.
82,FRESENIUS KABI AB
83,PENTACOOP SAS
84,THE MENTHOLATUM CO. INC.
85,BIOTEST AG
86,GENERICOS DE COLOMBIA LTDA
87,ABBVIE SAS
88,COOPERATIVA NACIONAL DE DROGUISTAS DETALLISTAS  COOPIDROGAS
89,AMGEN MANUFACTURING LIMITED
90,NEVOX FARMA SAS.
91,QUIMICA PATRIC LTDA.
92,EZ EM CANADA INC
93,GASES INDUSTRIALES DE COLOMBIA SAS CRYOGAS SAS
94,FIDIA FARMACEUTICI S.P.A.
95,OXIGENOS DE COLOMBIA LTDA.  OXICOL LTDA
96,CNX THERAPEUTICS LIMITED
97,BBRAUN AVITUM AG
98,BIOSIDUS SASU
99,LAFRANCOL INTERNACIONAL SAS.
99,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.
100,BAILLEUL LABORATORIES
101,VAKCINY SAS.
102,KEDRION S.P.A.
103,DEUTSCHE PHARMA SASC
104,F. HOFFMANNLA ROCHE LTD.
105,JOHNSON & JOHNSON DE COLOMBIA SAS
106,MONTE VERDE SAS
107,GENZYME CORPORATION
108,ROPIM SAS.
109,A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITI S R L
110,DR. FALK PHARMA GMBH.
111,LABQUIFAR LTDA.
112,NOVO  NORDISK A/S
113,CLINIGEN HELTHCARE LIMITED
114,ELI LILLY AND COMPANY
115,ABBVIEINC. 1N. WAUKEGANRD.NORTH CHICAGO.ILLINOIS6006. ESTADOS UNIDOS.
116,FONDO NACIONAL DE ESTUPEFACIENTES  HIDROMORFONA CLORHIDRATO 2 MG/ML
117,GUERBET
118,KARO HEALTHCARE AB
119,IPSEN CONSUMER HEALTHCARE
120,CHIESI FARMACEUTICI S.P.A.
121,ADIUM SAS
122,ESPECIALIDADES OFTALMOLOGICAS SAS
123,ALFASIGMA S.P.A.
124,KCI COLOMBIA SAS
125,BESINS HEALTHCARE SAS
126,CIPLA LTD. VERNA. SALCETTE.GOA
127,GLENWOOD GMBH PHARMAZEUTISCHE ERZEUGNISSE.
128,FERRER INTERNACIONAL SAS
129,GRUPO UNIPHARM SAS Y/O LABORATORIOS UNI SAS
130,GEDEON RICHTERPLC
131,ROEMMERS SASI.C.F.
132,BIOQUIFAR PHARMACEUTICA SAS
133,PHARMADERM SAS
134,MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG SAS
135,AUROBINDO PHARMA LTD
136,PINT PHARMA GMBH
137,BLAU FARMACEUTICA COLOMBIA SAS
138,DAVID ALEJANDRO DELGADO GARCIA
139,VESALIUSPHARMASAS
140,MEIJI SEIKA PHARMA CO LTD.
141,FARMALOGICA SAS
142,ANZG LTDA
143,SOFAR PRODUCTOS LTDA
144,LUNDBECK COLOMBIA SAS.
145,FONOS GASES INDUSTRIALES Y MEDICINALES SAS.
146,AULEN PHARMA SAS
147,BEIERSDORF SAS
148,OTSUKA PHARMACEUTICAL INDIA PRIVATE LIMITED
149,LYOMARK PHARMA GMBH
150,OPHARM LTDA
151,HUMAX PHARMACEUTICAL SAS
152,TUTEUR SAS C.I.F.I.A.
153,ADS PHARMA SAS.
154,FAES FARMA COLOMBIA SAS
155,COOPIDROGAS
156,COMERCIAL MEDICA SAS.
157,ASTELLAS PHARMA US. INC.
158,CSLBEHRINGAG
159,3M COLOMBIA SAS
160,MANUEL ARBOLEDA SAS.
161,ATNAHS PHARMA UK LTD
162,IBSA  INSTITUTO BIOCHEMIQUE S.A
163,DEBIOPHARMRESEARCH & MANUFACTURING S.A
164,ACTIFARMA SAS
165,TOLMAR. INC
166,ALDRISTON FARMACEUTICA DE COLOMBIA LTDA
167,DSMFIRMENICH HOUDAN SAS
168,C.I FARMACAPSULAS SAS.
169,RECORDATI IRELAND LIMITED
170,BIONUTREC SAS.
171,SYGMA LABORATORIES SAS.
172,BIOFLUIDOS & FARMA SAS.
173,PERCOS S.A
174,RARE ANTIBODYANTIGENSUPPLY. INC.
175,MEDIGEN SAS
176,FARMANAL LTDA.
177,SYNTOFARMA SASPLANTA CEFALOSPORINAS
178,INVESTIGACIONES Y DESARROLLO FARMOQUIMICO LTDA IDEFAR LTDA
179,VON HALLER LABORATORIOS LTDA
180,FASAN LTDA
181,CENTRO DE INMUNOLOGÍA MOLECULAR  PLANTA 3
182,COLGENERICOS SAS
183,WINTHROP PHARMACEUTICALS DE COLOMBIA SAS
184,NATURAL SYSTEMS INTERNATIONAL SAS
185,EUROETIKA SAS
186,UNIQUE PHARMACEUTICAL LABORATORIESDIV. OF J.B. CHEMICALS AND PHARMACEUTICALS LIMITED)
187,BIIB COLOMBIA SAS
188,VICARFARMACEUTICA SAS
189,PHARMA MEDICS SAS
190,FARMADISA
191,BD FARMA SAS
192,MED LINE COLOMBIA SAS.
193,SKINDRUG S.A
194,PROCLIN PHARMA S.A
195,LETIF LTDA
196,PHARMAZEUTISCHE FABRIK MONTAVIT GMBH
197,VENUS REMEDIES LIMITED
198,AL PHARMA SAS.
199,ROCIPHAR SAS.
200,ACROMAX LABORATORIO QUIMICO FARMACEUTICO S.A
201,EXELTIS SAS
202,GLOBAL INTERNATIONAL MEDICINE SAS GIMED SAS
203,TRIDEX FARMACEUTICA SAS
204,BIOTOSCANA FARMA SAS
205,OCTAPHARMA AG
206,MESSER COLOMBIA SAS
207,DENOVA PHARMACEUTICAL SAS
208,HUMANCARE SAS.
209,GALENO QUIMICA SAS
210,HIC SAS.
211,MONSER PRODUCTOS FARMACEUTICOS SAS
212,BASS FARMACEUTICA SAS
213,MARKETING LASMA SAS.
214,BDFARMA SAS.
215,VELEZ & GOMEZ SAS. LABORATORIOS VELEZGO
216,SALUS PHARMA LABS SAS.
217,KEVIPHARMA LABORATORIO FARMACEUTICO
218,RPHARM US OPERATING
219,SPECIALITES SEPTODONT SAS
220,KERN PHARMA S.L
221,VIDRIO TÉCNICO DE COLOMBIA SAS VITECO SAS
222,JOINPHARM SAS
223,DAIICHI SANKYO BRASIL FARMACEUTICA LTDA
224,FLORA LAB SAS
225,QUIMICOS ALBOR SAS
226,COSMETIPHARMA DE COLOMBIA SAS
227,GILEAD SCIENCES. INC.
228,UCB PHARMA SAS
229,HEALTH NET SAS
230,NOVALAB SAS.
231,ADVANCE SCIENTIFIC DE COLOMBIA SAS.
232,FEDEFARMA SAS.
233,MACROMED SAS.
234,MAGNOFARMA SAS. EN REORGANIZACION
235,BIOMARIN PHARMACEUTICAL INC
236,TROIKAA PHARMACEUTICALS LIMITED
237,OTOPHARMA SAS
238,PROFMA SAS
239,BRACCO IMAGING S.P.A
240,INTERNACIONAL DE PERFUMERÍAS Y ESPECIALIDADES FARMACEUTICAS SAS.  IPEF SAS.
241,ABBOTT LABORATORIES DE COLOMBIA SAS.
242,LFB BIOMEDICAMENTS
243,SUN PHARMACEUTICAL INDUSTRIES LTD.
244,COASPHARMA SAS.
245,TEYTEPHARMACEUTICALSAS.
246,RPG LIFE SCIENCES LIMITED
247,PERFORMANCE HEALTH LLC
248,CALIER FARMACEUTICA DE COLOMBIA SAS
249,EMCURE PHARMACEUTICALS. LTD
250,QUIRUPOS SAS.
251,GRIFOLS THERAPEUTICS LLC
252,DISPROPHARMA LTDA.
253,SERUM INSTITUTE OF INDIA PVT LTD
254,CLOSTER PHARMA SAS.
255,ORTHOMOLECULAR MEDISEARCH LABORATORIES PTY. LTD
256,MISSION PHARMACAL COMPANY
257,AXON PHARMA SAS.
258,LIPOMED AG
259,AG PHARMACEUTICAL SAS
260,GENOMMA LAB INTERNACIONAL SASB. DE C.V.
261,THERAPEUTICS IRELAND LIMITED
262,SANLY LABORATORIOS SAS
263,ADARE PHARMACEUTICALS INC
264,HB HUMAN BIOSCIENCE SAS.
265,CAMBRIDGE PHARMACEUTICAL SAS.
266,LTC E.U.
267,RODELG LABORATORIOS LTDA
268,LABORARTORIOS RYAN DE COLOMBIA SAS
269,KAMADA LTD
270,RIEMSER PHARMA GMBH
271,SOLARVIT COLOMBIA SAS
272,FARCOPHARMA GMBH
273,ANESPA FARMACEUTICA EU
274,LIMINAL THERAPEUTICS SAS.
275,NUTRABIOTICS SAS
276,EUROMED LABORATORIES
277,NORTH CHINA PHARMACEUTICAL CO LTD
278,JUAN CARLOSSEPULVEDA
279,I LAB SAS.
280,NATURE´S BLEND DE COLOMBIA LTDA
281,NCPC HEBEI HUANIM PHARMACEUTICAL CO LTD
282,AIR LIQUIDE COLOMBIA SAS.
283,SOLMEDICAL SAS
284,ZONEPHARMA SAS.
285,KNOVEL PHARMA SAS
286,SALUSPHARMA LABS SAS.
287,CORZA MEDICAL GMBH
288,NORSTRAY & NUART SAS.
289,DUMIAN MEDICAL SAS.
290,HETERO LABS LIMITED
