codigo,texto
39,SUMINISTRO DE MEDICAMENTOS
40,SUMINISTRO DE MEDICAMENTOS NO PBS
83,DISPOSITIVOS MEDICOS
84,DISPOSITIVOS MEDICOS NO PBS
469,ALQUILER DE EQUIPO MEDICO
999,CAPITA
1000,EPS
1001,ACUERDO 326 - CASA DE PASO
1002,ACUERDO 326 - TRANSPORTE
1003,ACUERDO 326 - MEDICINA TRADICIONAL
1004,ACUERDO 326 - GUIAS BILINGUES
1005,URGENCIAS
1006,HOSPITALIZACION QUIRURGICA
1007,ESTUDIOS Y PROCEDIMIENTOS NO QUIRURGICOS
1008,APOYO TERAPEUTICO
1009,OBSTETRICIA
1010,HOSPITALIZACION NO QUIRURGICA
1011,TRASLADOS NO ASISTENCIAL
1012,TRASLADOS
1013,CIRUGIA AMBULATORIA
1014,ODONTOLOGIA
1015,FOMENTO Y PREVENCION
1016,LABORATORIO CLINICO
1017,IMAGENOLOGIA
1018,COVID SOSPECHA / TOMA PRUEBAS
1019,CONSULTAS PARAMEDICAS
1020,CONSULTA MEDICA ESPECIALIZADA
1021,CONSULTA MEDICA GENERAL
1022,IV NIVEL
1023,DIALISIS Y HEMODIALISIS - MANEJO INTEGRAL IRC (ALTO COSTO)
1024,TRATAMIENTO DE INTEGRAL  PARA  EL CANCER
1025,GRAN QUEMADO ( ALTO COSTO)
1026,TRASPLANTE DE ORGANOS
1027,CIRUGIA DEL SISTEMA NERVIOSO CENTRAL ( ALTO COSTO)
1028,CIRUGIAS DE ENFERMEDADES CONGENITAS ( ALTO COSTO)
1029,CIRUGIA CARDIOVASCULAR Y GRANDES VASOS (ALTO COSTO)
1030,REEMPLAZO ARTICULAR ( ALTO COSTO)
1031,PRESUPUESTO MAXIMO
1032,PRESUPUESTO MAXIMO PROCEDIMIENTOS
1033,PRESUPUESTO MAXIMO SERVICIOS COMPLEMENTARIOS
1034,PRESUPUESTO MAXIMO APME
1035,ENTE TERRITORIAL
1036,GESTION EN SALUD PUBLICA
1037,LABORATORIO CLINICO
1038,ARL
1039,ATENCIONES POR ATEL
1040,ADRES
1041,COVID 19
1042,PRESUPUESTO MAXIMO MEDICAMENTOS
1043,CAPITA MORBILIDAD
1044,CAPITA PROMOCION Y PREVENCION
1045,CAPITA MEDICINA TRADICONAL
1046,CAPITA MEDICAMENTOS
1047,CAPITA LABORATORIOS
1055,CAPITA TRANSPORTE
1057,CAPITA CASA DE PASO
1058,VIH-SIDA Y SUS COMPLICACIONES (ALTO COSTO)
1059,PRESUPUESTO MAXIMO COMPRAS COMPLEMENTARIOS
1060,PRESUPUESTO MAXIMO TRANSPORTE COMPLEMENTARIOS
1061,PRESUPUESTO MAXIMO HOSPEDAJE COMPLEMENTARIOS
