codigo,texto
1,SIN INFORMACIÓN
1,-
1,lfu
1,æg
1,DICT 5O
1,anti-Xa IU
1,U Ph.Eu
1,AgU
1,b
1,MUSP
1,LacU
10001000,mg/parche
10001000,mg (titer)
10001000,MG - MILIGRAMO
10001000,miligramos
10001000,mg/CAP
10001001,0.798g
10001001,gramos
10001001,G - GRAMO
10001002,ug
10001002,MU
10001002,MCG - MICROGRAMO (µg)
10001003,ML - MILILITRO
10001004,UI - UNIDAD INTERNACIONAL
10001005,U - UNIDAD
10001006,M3 - METRO CUBICO
10001007,% (V/V) - PORCENTAJE VOLUMEN A VOLUMEN
10001007,% v/v
10001008,CCID50 - CENTRO DE CULTIVO INFECCIOSO 50%
10001009,KUI - KILO UNIDAD INTERNACIONAL
10001010,MG/MIL - MILIGRAMO SOBRE MILILITRO
10001011,% PORCIENTO
10001012,BILLION ORGANISMS/MG - MIL MILLONES DE ORGANISMOS/MILIGRAMOS
10001013,BILLION ORGANISMS
10001014,% (W/V)  PORCENTAJE  EN PESO Y VOLUMEN
10001015,MILLION ORGANISMS - MILLONES ORGANISMOS
10001016,%(W/W) PORCENTAJE PESO A PESO
10001016,% P/P
10001017,U FIP - UNIDAD ENZIMATICA  FEDERACION INTERNACION FARMACEUTICA
10001018,MMOL- MILSEIMA PARTE DE UN MOL
10001019,log 10 UFP
10001019,PFU - UNIDAD FORMADORA DE PLACAS
10001019,UFP
10001020,UFC - UNIDAD FORMADORA DE COLONIAS
10001021,millones de UI
10001021,MIU
10001021,MILLONUI
10001021,MILLION IU - MILLONES DE UNIDADES INTERNACIONES
10001021,million IU
10001021,million unit
10001021,MILLONES
10001021,IU (milllones)
10001021,MILLONES DE U.I.
10001022,ELISA unit
10001022,UNIDADES ELISA
10001022,unidades ELISA
10001023,NG -NANOGRAMOS
10001024,TCID50/dose
10001024,log TCID50
